iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
1,62413839.00,46983080.00,1133056.00,649
2,359519.00,612096.00,701703.00,649
3,150623.00,449146.00,641621.00,649
4,220228.00,425701.00,752594.00,649
5,217044.00,399088.00,577116.00,649
6,215693.00,559562.00,567615.00,649
7,393874.00,660531.00,645217.00,649
8,120515.00,367911.00,537499.00,649
9,227534.00,457966.00,1080864.00,649
10,139504.00,532421.00,517153.00,649
11,218160.00,690450.00,751982.00,649
12,160174.00,483500.00,585783.00,649
13,109700.00,360832.00,4323856.00,649
14,161476.00,325324.00,496843.00,649
15,214198.00,436169.00,363502.00,649
16,148324.00,439110.00,669145.00,649
17,148044.00,398696.00,584605.00,649
18,173318.00,567420.00,470482.00,649
19,106328.00,309861.00,403726.00,649
20,143541.00,255637.00,374734.00,649
21,93543.00,220108.00,302780.00,649
22,93715.00,206652.00,380539.00,649
23,211136.00,252768.00,305140.00,649
24,90727.00,297960.00,412938.00,649
25,103777.00,597023.00,523451.00,649
26,131416.00,366936.00,489127.00,649
27,119955.00,252198.00,339724.00,649
28,91848.00,238372.00,300359.00,649
29,133487.00,223143.00,299200.00,649
30,95569.00,223256.00,275456.00,649
31,88588.00,194550.00,321739.00,649
32,129560.00,273600.00,721238.00,649
33,181996.00,352175.00,457222.00,649
34,139554.00,317679.00,408683.00,649
35,144766.00,268537.00,446026.00,649
36,136993.00,261137.00,394288.00,649
37,205087.00,272697.00,526856.00,649
38,146932.00,261479.00,442707.00,649
39,173652.00,368037.00,470241.00,649
40,141309.00,417176.00,502723.00,649
41,150838.00,289377.00,466647.00,649
42,131706.00,373581.00,383882.00,649
43,178423.00,407031.00,347358.00,649
44,108932.00,465858.00,405175.00,649
45,150386.00,444786.00,423610.00,649
46,151113.00,225205.00,514500.00,649
47,146367.00,217506.00,345155.00,649
48,141997.00,288739.00,387847.00,649
49,176314.00,212927.00,321818.00,649
50,152048.00,267574.00,432604.00,649
51,123872.00,271633.00,385679.00,649
52,308410.00,520616.00,331846.00,649
53,131630.00,157004.00,452262.00,649
54,81744.00,137592.00,182130.00,649
55,74337.00,141732.00,214204.00,649
56,79656.00,143382.00,284215.00,649
57,84247.00,97609.00,216110.00,649
58,88403.00,108401.00,223213.00,649
59,80268.00,103528.00,179560.00,649
60,76837.00,101202.00,185271.00,649
61,80627.00,123263.00,157321.00,649
62,76532.00,89320.00,169601.00,649
63,74431.00,83094.00,190230.00,649
64,78435.00,118013.00,922599.00,649
65,254932.00,184438.00,210593.00,649
66,86158.00,101605.00,163278.00,649
67,68063.00,86147.00,193611.00,649
68,67196.00,88580.00,171061.00,649
69,72105.00,113393.00,174276.00,649
70,74551.00,108804.00,209887.00,649
71,92921.00,127175.00,190708.00,649
72,77975.00,103396.00,352178.00,649
73,89648.00,137276.00,475506.00,649
74,147573.00,178070.00,341959.00,649
75,113084.00,221766.00,284055.00,649
76,146075.00,280783.00,269785.00,649
77,105040.00,129706.00,365146.00,649
78,113630.00,159785.00,270576.00,649
79,113066.00,246636.00,319111.00,649
80,175908.00,186810.00,355220.00,649
81,98264.00,150029.00,272006.00,649
82,99598.00,170398.00,255962.00,649
83,95216.00,130188.00,369570.00,649
84,151901.00,161509.00,212693.00,649
85,87478.00,186618.00,379986.00,649
86,124494.00,160597.00,230877.00,649
87,193069.00,175827.00,610238.00,649
88,165664.00,123053.00,169313.00,649
89,51862.00,90303.00,302591.00,649
90,90241.00,273865.00,716270.00,649
91,121659.00,169288.00,211472.00,649
92,77198.00,125098.00,223937.00,649
93,94291.00,182789.00,383972.00,649
94,76762.00,121674.00,192092.00,649
95,88603.00,204627.00,223777.00,649
96,68190.00,133569.00,196856.00,649
97,67223.00,119925.00,242530.00,649
98,89807.00,120806.00,179177.00,649
99,89154.00,120713.00,231961.00,649
100,75315.00,139097.00,169413.00,649
101,65953.00,132953.00,170726.00,649
102,62844.00,155745.00,281297.00,649
103,78869.00,264779.00,196943.00,649
104,51220.00,117794.00,200219.00,649
105,52397.00,137457.00,161857.00,649
106,48250.00,152139.00,184171.00,649
107,46997.00,155623.00,169456.00,649
108,45572.00,98099.00,167859.00,649
109,51120.00,92238.00,172584.00,649
110,50135.00,231418.00,200855.00,649
111,48651.00,148612.00,175457.00,649
112,55195.00,267729.00,234522.00,649
113,67281.00,102921.00,197460.00,649
114,55258.00,95921.00,140212.00,649
115,48099.00,134016.00,181678.00,649
116,52945.00,143966.00,142836.00,649
117,55401.00,92273.00,223080.00,649
118,57230.00,95306.00,172216.00,649
119,51175.00,97236.00,141528.00,649
120,48032.00,108391.00,136604.00,649
121,48766.00,112315.00,139636.00,649
122,47604.00,89682.00,207394.00,649
123,52480.00,107369.00,238236.00,649
124,63203.00,110842.00,179048.00,649
125,51433.00,117581.00,168268.00,649
126,45132.00,113798.00,123630.00,649
127,41717.00,76142.00,134729.00,649
128,45138.00,107098.00,331384.00,649
129,104656.00,130471.00,154735.00,649
130,49630.00,121289.00,125324.00,649
131,49521.00,96192.00,145308.00,649
132,46085.00,80085.00,136673.00,649
133,43349.00,87938.00,128534.00,649
134,46219.00,76101.00,117788.00,649
135,48072.00,90589.00,197392.00,649
136,85297.00,128262.00,132731.00,649
137,50152.00,84683.00,149337.00,649
138,67899.00,81012.00,155991.00,649
139,60298.00,87752.00,232148.00,649
140,52219.00,130579.00,116939.00,649
141,42572.00,107507.00,117215.00,649
142,73219.00,83176.00,133401.00,649
143,44247.00,71927.00,126417.00,649
144,51003.00,66630.00,105632.00,649
145,39783.00,115466.00,179184.00,649
146,57188.00,87026.00,109863.00,649
147,38370.00,87145.00,114504.00,649
148,47413.00,64077.00,193190.00,649
149,58557.00,126764.00,165002.00,649
150,51037.00,91683.00,205692.00,649
151,53321.00,141727.00,125616.00,649
152,44400.00,67998.00,124610.00,649
153,44247.00,99242.00,135375.00,649
154,49127.00,77176.00,159075.00,649
155,45048.00,82148.00,148779.00,649
156,49355.00,81361.00,191159.00,649
157,53841.00,72653.00,141425.00,649
158,41395.00,63195.00,113322.00,649
159,39250.00,59456.00,97879.00,649
160,37784.00,79192.00,118201.00,649
161,38997.00,131518.00,172748.00,649
162,50364.00,67577.00,205637.00,649
163,73079.00,78587.00,195533.00,649
164,58563.00,70432.00,116657.00,649
165,45607.00,88134.00,161710.00,649
166,49679.00,85950.00,115346.00,649
167,51034.00,77016.00,122927.00,649
168,45426.00,69476.00,121029.00,649
169,46843.00,64468.00,110159.00,649
170,90575.00,152001.00,125352.00,649
171,48763.00,80902.00,152465.00,649
172,53869.00,64856.00,111551.00,649
173,69874.00,77253.00,105754.00,649
174,41798.00,52779.00,90828.00,649
175,98292.00,136254.00,147646.00,649
176,42925.00,67899.00,96875.00,649
177,74431.00,67990.00,116403.00,649
178,50019.00,86664.00,115242.00,649
179,39822.00,56002.00,94802.00,649
180,41026.00,59747.00,97448.00,649
181,45913.00,61505.00,100114.00,649
182,45210.00,53995.00,102526.00,649
183,38596.00,51951.00,100364.00,649
184,48308.00,51550.00,92891.00,649
185,48330.00,50309.00,68442.00,649
186,27904.00,39080.00,89386.00,649
187,34640.00,38549.00,77610.00,649
188,28856.00,44757.00,83958.00,649
189,27636.00,35876.00,64612.00,649
190,38795.00,43156.00,69265.00,649
191,28918.00,43209.00,69259.00,649
192,28599.00,37991.00,117702.00,649
193,36660.00,39586.00,71861.00,649
194,28357.00,37895.00,65553.00,649
195,27861.00,42058.00,70973.00,649
196,27795.00,42321.00,65823.00,649
197,28110.00,36697.00,69451.00,649
198,28337.00,37090.00,70656.00,649
199,28117.00,36755.00,67127.00,649
200,55884.00,54041.00,81253.00,649
201,87438.00,103263.00,387482.00,649
202,98059.00,72531.00,127308.00,649
203,48616.00,60817.00,189348.00,649
204,49070.00,47342.00,92626.00,649
205,36790.00,50099.00,107500.00,649
206,42576.00,185406.00,118522.00,649
207,50841.00,61175.00,108611.00,649
208,59151.00,59751.00,112301.00,649
209,48270.00,56448.00,72741.00,649
210,30363.00,48890.00,71338.00,649
211,45705.00,52795.00,71193.00,649
212,29324.00,43060.00,77994.00,649
213,26932.00,36171.00,66909.00,649
214,29600.00,39421.00,66136.00,649
215,26063.00,39824.00,63812.00,649
216,27161.00,43578.00,67153.00,649
217,70788.00,67995.00,84366.00,649
218,28091.00,37491.00,91132.00,649
219,34635.00,55734.00,134359.00,649
220,40061.00,50876.00,60749.00,649
221,25423.00,39955.00,61591.00,649
222,24992.00,35673.00,73381.00,649
223,27800.00,36534.00,65373.00,649
224,24919.00,35588.00,135470.00,649
225,38088.00,49150.00,66217.00,649
226,26978.00,42103.00,62728.00,649
227,25472.00,39068.00,69058.00,649
228,26390.00,36662.00,66703.00,649
229,25820.00,36136.00,62597.00,649
230,49559.00,73256.00,74802.00,649
231,26695.00,45355.00,341222.00,649
232,65199.00,114206.00,126652.00,649
233,38651.00,56831.00,103951.00,649
234,37645.00,52625.00,95215.00,649
235,34261.00,58966.00,84629.00,649
236,33581.00,57666.00,103827.00,649
237,40051.00,53863.00,97310.00,649
238,36711.00,50887.00,125811.00,649
239,44577.00,58810.00,86428.00,649
240,46173.00,93437.00,110228.00,649
241,36097.00,69060.00,89539.00,649
242,35361.00,51070.00,163365.00,649
243,58044.00,80283.00,177016.00,649
244,47300.00,58317.00,94877.00,649
245,37356.00,69932.00,117094.00,649
246,39708.00,70327.00,106302.00,649
247,70362.00,72176.00,136270.00,649
248,87401.00,67428.00,110663.00,649
249,34835.00,58630.00,93506.00,649
250,35614.00,71055.00,100446.00,649
251,37562.00,71780.00,63884.00,649
252,22135.00,37638.00,62594.00,649
253,22087.00,34907.00,58501.00,649
254,27531.00,34857.00,55511.00,649
255,20892.00,37800.00,55428.00,649
256,31454.00,50555.00,407868.00,649
257,34661.00,45427.00,89533.00,649
258,32505.00,36902.00,61370.00,649
259,52034.00,81964.00,67845.00,649
260,33424.00,66316.00,151091.00,649
261,50910.00,72186.00,92482.00,649
262,34593.00,49898.00,89438.00,649
263,59046.00,41874.00,63995.00,649
264,21349.00,33848.00,58116.00,649
265,20881.00,38362.00,54118.00,649
266,20179.00,37795.00,55834.00,649
267,20398.00,35356.00,87822.00,649
268,29110.00,37451.00,61699.00,649
269,22085.00,38035.00,69347.00,649
270,23781.00,39880.00,62392.00,649
271,47260.00,67670.00,59368.00,649
272,21783.00,37012.00,67477.00,649
273,22070.00,34743.00,58851.00,649
274,25314.00,36415.00,61385.00,649
275,21037.00,50320.00,62772.00,649
276,20431.00,35432.00,50851.00,649
277,18790.00,33347.00,59160.00,649
278,20366.00,31918.00,54330.00,649
279,20250.00,31942.00,62750.00,649
280,19153.00,35262.00,50694.00,649
281,19466.00,35966.00,51697.00,649
282,19172.00,40741.00,71280.00,649
283,19283.00,33118.00,91400.00,649
284,20501.00,35042.00,53740.00,649
285,19271.00,36671.00,54773.00,649
286,19302.00,36684.00,67816.00,649
287,32519.00,35961.00,58258.00,649
288,36852.00,44584.00,79395.00,649
289,34021.00,34465.00,52282.00,649
290,19963.00,38575.00,58636.00,649
291,20775.00,63656.00,67874.00,649
292,18908.00,32563.00,54490.00,649
293,18213.00,31785.00,52682.00,649
294,17904.00,31306.00,48632.00,649
295,19397.00,34912.00,49321.00,649
296,17404.00,34585.00,49034.00,649
297,17476.00,32267.00,54399.00,649
298,21787.00,31682.00,73699.00,649
299,18935.00,31405.00,73630.00,649
300,24382.00,43541.00,53716.00,649
301,18432.00,37755.00,52899.00,649
302,18476.00,32602.00,54247.00,649
303,18197.00,34358.00,56287.00,649
304,19198.00,32864.00,63084.00,649
305,17467.00,36447.00,50615.00,649
306,18328.00,40529.00,50499.00,649
307,17570.00,31832.00,54492.00,649
308,65232.00,49650.00,89356.00,649
309,19743.00,34394.00,48855.00,649
310,16886.00,35762.00,56543.00,649
311,16681.00,34892.00,49104.00,649
312,16535.00,31394.00,51593.00,649
313,17738.00,31330.00,53031.00,649
314,16922.00,31011.00,47598.00,649
315,16278.00,34413.00,48565.00,649
316,16547.00,34033.00,51599.00,649
317,40446.00,44719.00,57797.00,649
318,17433.00,33848.00,53363.00,649
319,24020.00,52299.00,85814.00,649
320,32121.00,126471.00,326987.00,649
321,44839.00,78016.00,83162.00,649
322,26133.00,48379.00,80919.00,649
323,25255.00,48976.00,89308.00,649
324,25226.00,53101.00,77196.00,649
325,28345.00,54991.00,72606.00,649
326,24028.00,98456.00,78926.00,649
327,61600.00,56988.00,107944.00,649
328,28259.00,60917.00,124337.00,649
329,29626.00,55336.00,85553.00,649
330,45893.00,64318.00,78437.00,649
331,26088.00,53308.00,72896.00,649
332,24747.00,44841.00,79042.00,649
333,26268.00,45929.00,78523.00,649
334,41743.00,53694.00,74637.00,649
335,24896.00,57238.00,74646.00,649
336,25977.00,56367.00,76211.00,649
337,25841.00,52758.00,79951.00,649
338,26570.00,77871.00,109322.00,649
339,27944.00,51014.00,75925.00,649
340,58039.00,60233.00,76054.00,649
341,25778.00,55441.00,85419.00,649
342,30475.00,50480.00,119234.00,649
343,29490.00,47864.00,77231.00,649
344,51142.00,48017.00,91831.00,649
345,23822.00,52942.00,74143.00,649
346,23640.00,54480.00,69628.00,649
347,23021.00,46772.00,72571.00,649
348,22447.00,47205.00,76010.00,649
349,26580.00,46472.00,100545.00,649
350,30506.00,58971.00,77705.00,649
351,25640.00,56453.00,73315.00,649
352,26684.00,47071.00,115518.00,649
353,25913.00,46551.00,74922.00,649
354,27821.00,46738.00,68555.00,649
355,47772.00,65880.00,95776.00,649
356,21203.00,50651.00,69047.00,649
357,47657.00,47618.00,67364.00,649
358,19715.00,124545.00,80264.00,649
359,52628.00,72113.00,64397.00,649
360,19869.00,46667.00,61966.00,649
361,20372.00,86543.00,78016.00,649
362,22526.00,44227.00,75064.00,649
363,22726.00,47209.00,69264.00,649
364,19870.00,42290.00,64714.00,649
365,19746.00,54464.00,65611.00,649
366,20711.00,64889.00,69698.00,649
367,38805.00,59734.00,76879.00,649
368,21818.00,43824.00,70292.00,649
369,21727.00,45187.00,65134.00,649
370,21015.00,51120.00,500340.00,649
371,24440.00,177349.00,73617.00,649
372,17645.00,35882.00,47808.00,649
373,12243.00,29859.00,46021.00,649
374,12360.00,78624.00,56557.00,649
375,12404.00,35425.00,42209.00,649
