iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
1,527511.00,570973.00,54754.00,646
2,11735.00,21411.00,36877.00,646
3,10381.00,20181.00,34362.00,646
4,10291.00,20120.00,30132.00,646
5,9822.00,23749.00,30474.00,646
6,9905.00,23341.00,30096.00,646
7,9997.00,19932.00,33500.00,646
8,10174.00,20019.00,178625.00,646
9,18033.00,21148.00,31028.00,646
10,9793.00,24162.00,30794.00,646
11,9882.00,23469.00,30179.00,646
12,9765.00,20134.00,33736.00,646
13,9790.00,20124.00,33278.00,646
14,9974.00,20005.00,29868.00,646
15,9644.00,23389.00,30076.00,646
16,9661.00,23289.00,29794.00,646
17,9780.00,20065.00,34048.00,646
18,9932.00,19866.00,33162.00,646
19,9907.00,19911.00,29906.00,646
20,9686.00,23213.00,30056.00,646
21,9628.00,23302.00,29867.00,646
22,10580.00,20481.00,33380.00,646
23,9881.00,19901.00,176121.00,646
24,23839.00,30040.00,33746.00,646
25,10807.00,26771.00,68924.00,646
26,18554.00,30172.00,32916.00,646
27,10396.00,20360.00,34252.00,646
28,9876.00,20251.00,33636.00,646
29,9992.00,20247.00,30292.00,646
30,9666.00,23346.00,30304.00,646
31,9977.00,23219.00,29916.00,646
32,215197.00,57090.00,71162.00,646
33,17852.00,49243.00,59200.00,646
34,19632.00,32472.00,51277.00,646
35,19503.00,45092.00,57651.00,646
36,31357.00,42385.00,57858.00,646
37,20755.00,34100.00,58780.00,646
38,18477.00,35822.00,61525.00,646
39,18316.00,34387.00,52389.00,646
40,17982.00,46489.00,51731.00,646
41,17073.00,40163.00,55317.00,646
42,16776.00,211973.00,85016.00,646
43,21289.00,39443.00,58976.00,646
44,19664.00,35294.00,59301.00,646
45,17569.00,37193.00,48131.00,646
46,17381.00,85519.00,69431.00,646
47,21390.00,33707.00,58213.00,646
48,80090.00,39319.00,75203.00,646
49,12693.00,20923.00,30305.00,646
50,9874.00,23681.00,30172.00,646
51,9734.00,23862.00,29799.00,646
52,9573.00,20063.00,33212.00,646
53,9948.00,20112.00,33334.00,646
54,9892.00,20308.00,30027.00,646
55,9630.00,23259.00,30180.00,646
56,9828.00,23176.00,29954.00,646
57,9579.00,19988.00,33255.00,646
58,9957.00,20072.00,33128.00,646
59,9827.00,37199.00,57286.00,646
60,10720.00,23945.00,30165.00,646
61,9747.00,23289.00,30127.00,646
62,9832.00,19996.00,33109.00,646
63,9768.00,20055.00,33120.00,646
64,9950.00,20054.00,30172.00,646
65,9903.00,23363.00,30048.00,646
66,9837.00,23330.00,29949.00,646
67,9760.00,19968.00,33152.00,646
68,9870.00,20104.00,33195.00,646
69,9876.00,20090.00,30054.00,646
70,9721.00,23214.00,30179.00,646
71,19742.00,23818.00,30232.00,646
72,9769.00,483974.00,104604.00,646
73,20539.00,27770.00,36796.00,646
74,10345.00,20546.00,30442.00,646
75,9900.00,23672.00,30549.00,646
76,9932.00,23552.00,30306.00,646
77,10010.00,25818.00,33625.00,646
78,9859.00,20155.00,33307.00,646
79,9926.00,20259.00,29128.00,646
80,46721.00,74780.00,49111.00,646
81,11138.00,25728.00,30991.00,646
82,10163.00,20410.00,33930.00,646
83,10102.00,20137.00,33385.00,646
84,10952.00,34258.00,28097.00,646
85,9017.00,83063.00,53542.00,646
86,11355.00,162183.00,46847.00,646
87,10819.00,18986.00,32483.00,646
88,9379.00,88034.00,70615.00,646
89,13834.00,21765.00,30046.00,646
90,9313.00,22518.00,28077.00,646
91,9056.00,21620.00,27504.00,646
92,9025.00,18574.00,30670.00,646
93,9109.00,18555.00,30687.00,646
94,9133.00,18562.00,27627.00,646
95,9009.00,21534.00,27824.00,646
96,9198.00,22046.00,27541.00,646
97,9072.00,18526.00,30484.00,646
98,9197.00,18557.00,30703.00,646
99,9302.00,18582.00,68051.00,646
100,17083.00,29533.00,228693.00,646
101,28362.00,115538.00,64092.00,646
102,12078.00,20169.00,33538.00,646
103,9260.00,18456.00,30481.00,646
104,9057.00,18300.00,27584.00,646
105,8832.00,21423.00,27544.00,646
106,8847.00,63676.00,38096.00,646
107,9746.00,19194.00,30994.00,646
108,9341.00,18409.00,30604.00,646
109,8875.00,18460.00,33542.00,646
110,7721.00,17558.00,22680.00,646
111,7143.00,17319.00,22204.00,646
112,7166.00,14973.00,60404.00,646
113,8909.00,16211.00,25405.00,646
114,7905.00,14747.00,21940.00,646
115,7324.00,17176.00,31252.00,646
116,12134.00,137428.00,126774.00,646
117,19754.00,29910.00,55058.00,646
118,124674.00,40145.00,53352.00,646
119,14736.00,31054.00,39930.00,646
120,14648.00,32871.00,40675.00,646
121,13926.00,32294.00,38573.00,646
122,14420.00,24813.00,42658.00,646
123,13566.00,26867.00,40674.00,646
124,13692.00,24925.00,40228.00,646
125,13892.00,29467.00,39601.00,646
126,13697.00,31277.00,38752.00,646
127,13495.00,25414.00,43636.00,646
128,14244.00,26656.00,46460.00,646
129,14802.00,27214.00,39730.00,646
130,13904.00,30568.00,40897.00,646
131,13600.00,31035.00,41581.00,646
132,14293.00,25670.00,80113.00,646
133,14602.00,24301.00,40617.00,646
134,11899.00,63034.00,51817.00,646
135,17613.00,31781.00,37131.00,646
136,12663.00,28739.00,38379.00,646
137,13194.00,27191.00,90477.00,646
138,17065.00,37020.00,44916.00,646
139,14653.00,28052.00,41034.00,646
140,12904.00,36016.00,34061.00,646
141,12258.00,27999.00,35011.00,646
142,11651.00,48244.00,50204.00,646
143,12672.00,22683.00,40451.00,646
144,18965.00,25700.00,46056.00,646
145,12463.00,46998.00,38084.00,646
146,11380.00,27626.00,35274.00,646
147,11089.00,19487.00,44025.00,646
148,11694.00,21209.00,36928.00,646
149,10040.00,20039.00,29545.00,646
150,9846.00,25978.00,32673.00,646
151,10380.00,25804.00,34574.00,646
152,10935.00,23099.00,37199.00,646
153,10789.00,19796.00,43903.00,646
154,10897.00,26979.00,32544.00,646
155,9952.00,29653.00,32277.00,646
156,10008.00,23804.00,1991873.00,646
157,23620.00,25389.00,39259.00,646
158,8926.00,16242.00,75600.00,646
159,11164.00,13468.00,17693.00,646
160,5563.00,14763.00,416864.00,646
161,23455.00,27031.00,25112.00,646
162,10515.00,18093.00,47988.00,646
163,11440.00,17707.00,29333.00,646
